test_id,gene,locus,sample_1,sample_2,status,value_1,value_2
XLOC_016154,"NM_001145642,NM_014687",chr3:197398258-197511317,Media_Only,Chemical_B,OK,27.394,2.10404
XLOC_001982,NM_182581,chr1:162343514-162346644,Media_Only,Chemical_B,OK,5.6317,1.14677
XLOC_005024,NM_005761,chr12:94542498-94701451,Media_Only,Chemical_B,OK,4.13558,1.18099
XLOC_018586,"NM_003057,NM_153187",chr6:160542862-160579750,Media_Only,Chemical_B,OK,80.3572,28.379
XLOC_016371,NR_046377,chr4:74374519-74394250,Media_Only,Chemical_B,OK,4.77028,0.845608
XLOC_001712,NR_034126,chr1:112141628-112150940,Media_Only,Chemical_B,OK,3.0223,0.123912
XLOC_010492,"NM_001271995,NM_001271996,NM_001271997,NM_032607",chr19:4153597-4173051,Media_Only,Chemical_B,OK,7.65157,1.67881
XLOC_016855,"NM_000672,NM_001102470",chr4:100010007-100222513,Media_Only,Chemical_B,OK,28.0114,8.80447
XLOC_016259,"NM_001128432,NM_020973",chr4:22694547-22821192,Media_Only,Chemical_B,OK,20.7136,5.9981
XLOC_012497,NM_152384,chr2:170336005-170363165,Media_Only,Chemical_B,OK,11.0209,4.00541
XLOC_015926,"NM_001165974,NM_144639",chr3:126200007-126236616,Media_Only,Chemical_B,OK,2.10666,0.335512
XLOC_001635,"NM_001007022,NM_001184765,NM_001184766,NM_020729",chr1:86812506-86862025,Media_Only,Chemical_B,OK,3.46564,0.895095
XLOC_017622,NM_001737,chr5:39284377-39364655,Media_Only,Chemical_B,OK,190.201,71.8921
XLOC_016858,NM_000669,chr4:100257648-100273917,Media_Only,Chemical_B,OK,29.4849,11.4358
XLOC_021240,"NR_003561,NR_027768",chr7:102815461-102920913,Media_Only,Chemical_B,OK,1.13842,0.0978102
XLOC_022862,NR_002836,chr9:69080243-69147854,Media_Only,Chemical_B,OK,1.89074,0.112105
XLOC_013222,NM_003742,chr2:169779448-169887833,Media_Only,Chemical_B,OK,4.86119,1.61175
XLOC_010824,NM_001013659,chr19:37997840-38034239,Media_Only,Chemical_B,OK,0.514895,0.0236264
XLOC_016777,NM_014465,chr4:70592685-70626430,Media_Only,Chemical_B,OK,20.2109,8.19783
XLOC_003973,NR_002728,chr11:2466220-2870340,Media_Only,Chemical_B,OK,1.88578,0.683351
XLOC_012623,"NM_001122633,NM_001122634,NM_001875",chr2:211342405-211543831,Media_Only,Chemical_B,OK,283.931,92.8177
XLOC_021095,NR_003666,chr7:72333317-72339655,Media_Only,Chemical_B,OK,1.89019,0.554547
XLOC_001238,NM_207370,chr1:6307405-6321035,Media_Only,Chemical_B,OK,9.67475,3.8201
XLOC_018663,NM_001503,chr6:24426061-24489850,Media_Only,Chemical_B,OK,5.1375,1.87953
XLOC_017241,NR_026936,chr5:95187935-95195836,Media_Only,Chemical_B,OK,22.8427,8.86761
XLOC_022678,NM_178536,chr9:139846767-139849949,Media_Only,Chemical_B,OK,9.88178,3.48451
XLOC_009084,"NM_000151,NM_001270397",chr17:41052813-41066450,Media_Only,Chemical_B,OK,7.17272,2.59465
XLOC_015226,NM_032787,chr3:100328432-100414323,Media_Only,Chemical_B,OK,4.89886,1.7418
XLOC_000841,"NM_001085375,NM_001135240",chr1:162348695-162356608,Media_Only,Chemical_B,OK,29.4647,8.5696
XLOC_000826,NM_032174,chr1:161195832-161208000,Media_Only,Chemical_B,OK,54.5848,19.0601
XLOC_008224,NM_020995,chr16:72097124-72111145,Media_Only,Chemical_B,OK,1281.84,518.011
XLOC_021247,NR_039981,chr7:104622193-104631612,Media_Only,Chemical_B,OK,0.630425,0.156509
XLOC_020831,NM_014141,chr7:145813452-148118088,Media_Only,Chemical_B,OK,1.54406,0.507879
XLOC_001890,"NM_000298,NM_181871",chr1:155247217-155271225,Media_Only,Chemical_B,OK,30.2974,10.3398
XLOC_010721,NM_052852,chr19:20278022-20311299,Media_Only,Chemical_B,OK,0.689084,0.0535096
XLOC_004227,"NM_005838,NM_201648",chr11:58476229-58499447,Media_Only,Chemical_B,OK,39.8575,14.4814
XLOC_007787,"NR_024172,NR_024173",chr15:98285845-98417659,Media_Only,Chemical_B,OK,2.76334,0.251132
XLOC_014885,NM_058238,chr22:46316247-46373008,Media_Only,Chemical_B,OK,0.749153,0.0692101
XLOC_014396,NM_031481,chr22:18043182-18073647,Media_Only,Chemical_B,OK,27.0642,11.8071
XLOC_021565,NM_194294,chr8:39792473-39873910,Media_Only,Chemical_B,OK,5.3228,1.83505
XLOC_002795,NR_027916,chr10:5196654-5227150,Media_Only,Chemical_B,OK,2.78198,0.806203
XLOC_000838,"NM_001126060,NM_001164757,NM_014697",chr1:162039580-162339813,Media_Only,Chemical_B,OK,3.27752,1.10873
XLOC_017823,NM_002302,chr5:135282599-135290723,Media_Only,Chemical_B,OK,73.0564,35.9868
XLOC_001761,NR_003242,chr1:144610814-144612727,Media_Only,Chemical_B,OK,7.89901,3.14452
XLOC_017581,NM_001369,chr5:13690436-13944589,Media_Only,Chemical_B,OK,0.583001,0.178259
XLOC_006531,NM_207117,chr14:100789678-100796715,Media_Only,Chemical_B,OK,9.51018,3.93347
XLOC_003819,"NM_001037290,NM_001256397,NM_001256398,NM_001256400,NM_031938",chr11:112046207-112089649,Media_Only,Chemical_B,OK,28.2437,11.6947
XLOC_021476,"NM_001099677,NM_020844",chr8:12803182-12887284,Media_Only,Chemical_B,OK,0.896887,0.288165
XLOC_008030,"NM_001030288,NM_003123",chr16:29674270-29681823,Media_Only,Chemical_B,OK,0.601691,0.128546
XLOC_002779,NM_000773,chr10:135340866-135352620,Media_Only,Chemical_B,OK,4.32277,1.42719
XLOC_018560,"NM_000125,NM_001122740,NM_001122741,NM_001122742",chr6:152011630-152424408,Media_Only,Chemical_B,OK,0.986401,0.281602
XLOC_011093,NM_173856,chr19:53761544-53762855,Media_Only,Chemical_B,OK,3.60922,0.0722859
XLOC_021933,NM_001010906,chr8:27879480-27941388,Media_Only,Chemical_B,OK,9.39736,3.8733
XLOC_015485,NM_003741,chr3:184097860-184107617,Media_Only,Chemical_B,OK,17.0531,7.68387
XLOC_018852,NM_003740,chr6:39156746-39197251,Media_Only,Chemical_B,OK,2.39666,0.813948
XLOC_016549,NM_005651,chr4:156824844-156841558,Media_Only,Chemical_B,OK,287.926,130.726
XLOC_022111,NM_005836,chr8:99114566-99129418,Media_Only,Chemical_B,OK,221.493,115.625
XLOC_001946,NM_000567,chr1:159682078-159684379,Media_Only,Chemical_B,OK,58.0174,27.6604
XLOC_008222,NM_001361,chr16:72042642-72059316,Media_Only,Chemical_B,OK,11.2827,4.98795
XLOC_004725,"NM_001114396,NM_002262,NM_007334",chr12:10457049-10469850,Media_Only,Chemical_B,OK,0.97526,0.142233
XLOC_001892,NM_018489,chr1:155305051-155533735,Media_Only,Chemical_B,OK,9.20897,3.63194
XLOC_018311,"NM_006672,NM_153320",chr6:43265997-43276530,Media_Only,Chemical_B,OK,106.277,47.9968
XLOC_018355,NM_138569,chr6:53883713-54131078,Media_Only,Chemical_B,OK,3.40871,1.14904
XLOC_022643,NM_000787,chr9:136501484-136524466,Media_Only,Chemical_B,OK,1.78565,0.528485
XLOC_010164,NM_017831,chr18:29598444-29653154,Media_Only,Chemical_B,OK,4.30969,1.9796
XLOC_014812,NM_138797,chr22:38226861-38240378,Media_Only,Chemical_B,OK,16.8275,8.10797
XLOC_003165,"NM_000141,NM_001144913,NM_001144914,NM_001144915,NM_001144916,NM_001144917,NM_001144918,NM_001144919,NM_022970,NM_023029",chr10:123237843-123357972,Media_Only,Chemical_B,OK,11.857,5.00746
XLOC_016778,NM_005420,chr4:70706929-70725870,Media_Only,Chemical_B,OK,2.45397,0.776177
XLOC_023005,NM_153366,chr9:113127528-113342160,Media_Only,Chemical_B,OK,0.955201,0.356764
XLOC_005744,NR_024345,chr12:121407640-121410095,Media_Only,Chemical_B,OK,1.79867,0.546308
XLOC_021060,"NM_000790,NM_001082971,NM_001242886,NM_001242887,NM_001242888,NM_001242889,NM_001242890",chr7:50526133-50633154,Media_Only,Chemical_B,OK,23.4503,11.1034
XLOC_005398,"NM_001143824,NM_018018",chr12:47158543-47219780,Media_Only,Chemical_B,OK,17.2321,8.28639
XLOC_023035,"NM_001184734,NM_001184735,NM_014010,NM_198186,NM_198187,NM_198188",chr9:119187503-120177317,Media_Only,Chemical_B,OK,8.2458,2.46606
XLOC_017067,"NR_024423,NR_024424",chr5:6582286-6588613,Media_Only,Chemical_B,OK,10.6285,4.73672
XLOC_000537,NM_022049,chr1:101003727-101007583,Media_Only,Chemical_B,OK,1.18062,0.411885
XLOC_003350,NM_054031,chr11:18142501-18160027,Media_Only,Chemical_B,OK,1.41121,0.326746
XLOC_022787,NM_001170,chr9:33384947-33402517,Media_Only,Chemical_B,OK,4.13584,1.50938
XLOC_003611,NR_028272,chr11:65190268-65194003,Media_Only,Chemical_B,OK,494.122,212.571
XLOC_017719,NM_001190470,chr5:79922044-80172634,Media_Only,Chemical_B,OK,1666.69,800.181
XLOC_001815,"NM_001258288,NM_001258289,NM_003944",chr1:151336777-151345210,Media_Only,Chemical_B,OK,90.524,40.6697
XLOC_008647,NR_003610,chr16:70010201-70099851,Media_Only,Chemical_B,OK,17.3348,7.85521
XLOC_009855,"NM_001099640,NM_018286",chr17:53796987-53809482,Media_Only,Chemical_B,OK,3.06698,1.02359
XLOC_016603,NM_000892,chr4:187148671-187179625,Media_Only,Chemical_B,OK,93.7353,46.3739
XLOC_001301,NR_023386,chr1:16793930-16819196,Media_Only,Chemical_B,OK,0.951189,0.302604
XLOC_007796,NR_073405,chr15:101087956-101099488,Media_Only,Chemical_B,OK,0.364185,0.116664
XLOC_023094,NR_033374,chr9:130873449-130881013,Media_Only,Chemical_B,OK,2.00517,0.752261
XLOC_009935,NM_080283,chr17:66970772-67057136,Media_Only,Chemical_B,OK,4.60249,2.11556
XLOC_012712,NM_206895,chr2:233734993-233741107,Media_Only,Chemical_B,OK,47.3084,29.4102
XLOC_023758,NR_030727,chrX:12920935-12961419,Media_Only,Chemical_B,OK,1.36887,0.204909
XLOC_005342,NM_021957,chr12:21689122-21757781,Media_Only,Chemical_B,OK,21.9507,10.9752
XLOC_001572,NM_001004303,chr1:57184476-57285369,Media_Only,Chemical_B,OK,11.9893,5.75284
XLOC_019094,"NM_001193480,NM_022568,NM_170771",chr6:135238527-135271260,Media_Only,Chemical_B,OK,76.35,36.2598
XLOC_021105,"NM_032951,NM_032952,NM_032953,NM_032954",chr7:73007523-73038870,Media_Only,Chemical_B,OK,162.986,75.7466
XLOC_005345,"NM_005691,NM_020297",chr12:21950323-22089628,Media_Only,Chemical_B,OK,13.3005,6.29067
XLOC_002825,NM_001039844,chr10:15117473-15130775,Media_Only,Chemical_B,OK,0.519698,0.0796401
XLOC_022133,NM_001385,chr8:105391651-105479277,Media_Only,Chemical_B,OK,16.8885,8.31279
XLOC_011744,NR_027754,chr19:45041044-45060150,Media_Only,Chemical_B,OK,0.631113,0.0554326
XLOC_004248,"NM_001252065,NM_004200",chr11:61281187-61348344,Media_Only,Chemical_B,OK,27.39,13.334
XLOC_022859,NR_002817,chr9:67270214-67289492,Media_Only,Chemical_B,OK,11.5381,5.56914
XLOC_001535,NM_001194986,chr1:48226199-48462562,Media_Only,Chemical_B,OK,1.75518,0.727291
XLOC_012455,NR_033658,chr2:139654893-139656744,Media_Only,Chemical_B,OK,0.842304,0.137301
XLOC_023141,"NM_001134707,NM_007101",chr9:136528683-136605077,Media_Only,Chemical_B,OK,20.1816,9.61297
XLOC_018158,NM_002127,chr6:29794755-29798899,Media_Only,Chemical_B,OK,1.74551,0.495078
XLOC_004287,NM_199352,chr11:62931295-62997124,Media_Only,Chemical_B,OK,12.7105,6.38298
XLOC_016819,"NM_001037582,NM_024906",chr4:83550689-83720010,Media_Only,Chemical_B,OK,1.01279,0.26152
XLOC_001423,NM_001167676,chr1:32826870-32827844,Media_Only,Chemical_B,OK,4.78112,2.00091
XLOC_000123,NM_207348,chr1:16062808-16067884,Media_Only,Chemical_B,OK,0.853665,0.238284
XLOC_001750,NM_001047980,chr1:120377387-120387779,Media_Only,Chemical_B,OK,1.37318,0.364018
XLOC_003088,NM_001308,chr10:101802064-101841642,Media_Only,Chemical_B,OK,16.0126,8.10551
XLOC_000931,NM_030806,chr1:184356149-184598155,Media_Only,Chemical_B,OK,4.8673,2.45689
XLOC_006093,"NM_001009814,NM_015058",chr13:42140960-42535221,Media_Only,Chemical_B,OK,14.2603,6.94056
XLOC_021301,NR_046216,chr7:127937737-127947816,Media_Only,Chemical_B,OK,0.774162,0.311473
XLOC_021172,NM_002612,chr7:95212808-95225925,Media_Only,Chemical_B,OK,3.72662,1.7799
XLOC_009666,"NM_001257408,NM_001257409,NM_001257410,NM_001257411,NM_001257412,NM_001257413,NM_001257414,NM_012481,NM_183228,NM_183229,NM_183230,NM_183231,NM_183232",chr17:37913967-38020441,Media_Only,Chemical_B,OK,0.404126,0.080965
XLOC_021620,NM_152765,chr8:67405490-67430759,Media_Only,Chemical_B,OK,1.9857,0.821346
XLOC_010922,"NM_001127893,NM_020219",chr19:45174723-45187627,Media_Only,Chemical_B,OK,8.86935,3.91288
XLOC_011328,NM_001013706,chr19:4522543-4535208,Media_Only,Chemical_B,OK,11.1096,5.54282
XLOC_000878,NM_002021,chr1:171217662-171255113,Media_Only,Chemical_B,OK,3.77786,1.64059
XLOC_023212,NR_046235,chrUn_gl000220:97128-126696,Media_Only,Chemical_B,OK,656.967,255.576
XLOC_008163,"NM_001185176,NM_001185177,NM_024922",chr16:66995131-67009052,Media_Only,Chemical_B,OK,61.3952,29.9729
XLOC_022450,NR_033937,chr9:97094757-97123230,Media_Only,Chemical_B,OK,1.07476,0.277216
XLOC_000475,"NM_000959,NM_001039585",chr1:78956727-79006386,Media_Only,Chemical_B,OK,9.25186,4.95066
XLOC_007310,NM_001164404,chr15:75550898-75565796,Media_Only,Chemical_B,OK,0.363096,0.0764418
XLOC_009342,NM_000160,chr17:79762009-79771889,Media_Only,Chemical_B,OK,31.3096,16.9563
XLOC_017247,NR_036530,chr5:98264837-98266713,Media_Only,Chemical_B,OK,1.03463,0.297736
XLOC_022012,NM_000370,chr8:63972047-63998612,Media_Only,Chemical_B,OK,23.7459,13.4811
XLOC_022228,NM_178564,chr8:144915754-144923146,Media_Only,Chemical_B,OK,149.218,76.2711
XLOC_021069,NM_207366,chr7:55861236-55930482,Media_Only,Chemical_B,OK,0.412997,0.0637426
XLOC_023780,"NM_001079858,NM_001079859,NM_001079860,NM_001184833,NM_001184834,NM_001184835,NM_001184836,NM_001184837,NM_005756",chrX:19007424-19140755,Media_Only,Chemical_B,OK,2.92429,1.32417
XLOC_001002,NR_046097,chr1:205831206-205865215,Media_Only,Chemical_B,OK,2.50742,1.0435
XLOC_015881,"NM_001164342,NM_001164343,NM_001164344,NM_001164345,NM_001164346,NM_001164347,NM_015642",chr3:114056946-114866127,Media_Only,Chemical_B,OK,1.85869,0.732711
XLOC_008120,NR_036677,chr16:56669650-56670998,Media_Only,Chemical_B,OK,3.43965,1.33936
XLOC_011502,NM_052890,chr19:15579456-15590315,Media_Only,Chemical_B,OK,5.82051,2.74549
XLOC_000542,"NM_017619,NM_020978",chr1:104068577-104122149,Media_Only,Chemical_B,OK,12.0894,5.95159
XLOC_006162,"NM_000115,NM_001122659,NM_001201397,NM_003991",chr13:78469615-78549674,Media_Only,Chemical_B,OK,1.14891,0.228726
XLOC_015330,NR_037893,chr3:129612713-129627755,Media_Only,Chemical_B,OK,0.587183,0.157861
XLOC_013284,"NM_001243835,NM_003151",chr2:191894301-192016322,Media_Only,Chemical_B,OK,2.99302,1.23897
XLOC_008828,NM_001678,chr17:7554253-7561089,Media_Only,Chemical_B,OK,0.386287,0.0509058
XLOC_013371,"NM_001144889,NM_001144890,NM_144712",chr2:220026180-220034817,Media_Only,Chemical_B,OK,1.83978,0.645487
XLOC_013969,NM_005461,chr20:39314516-39317876,Media_Only,Chemical_B,OK,9.9188,5.46427
XLOC_017544,NM_004174,chr5:473333-524549,Media_Only,Chemical_B,OK,0.838677,0.251308
XLOC_009341,"NM_001270888,NM_001270953,NM_012140",chr17:79679265-79688046,Media_Only,Chemical_B,OK,38.7013,20.6878
XLOC_000949,"NM_001166624,NM_021023",chr1:196743929-196763203,Media_Only,Chemical_B,OK,10.2122,4.88932
XLOC_014061,NM_005560,chr20:60884120-60942368,Media_Only,Chemical_B,OK,13.2689,6.43149
XLOC_003030,NR_046091,chr10:89156330-89167457,Media_Only,Chemical_B,OK,3.03693,1.22292
XLOC_003719,NM_025098,chr11:75428933-75442331,Media_Only,Chemical_B,OK,20.7307,11.6845
XLOC_015924,NM_014079,chr3:126061477-126076236,Media_Only,Chemical_B,OK,15.6529,8.50672
XLOC_023027,NM_138424,chr9:116853917-116861337,Media_Only,Chemical_B,OK,51.6249,28.3325
XLOC_012061,NM_003385,chr2:17721806-17837706,Media_Only,Chemical_B,OK,3.41958,1.5386
XLOC_020897,NM_182924,chr7:1473994-1499109,Media_Only,Chemical_B,OK,27.3674,14.8343
XLOC_006871,NM_003049,chr14:70242551-70264006,Media_Only,Chemical_B,OK,130.28,74.6139
XLOC_004995,"NM_001270396,NM_152436",chr12:75784849-75826177,Media_Only,Chemical_B,OK,1.19304,0.27024
XLOC_018831,"NM_001145775,NM_001145776,NM_001145777,NM_004117",chr6:35541361-35704724,Media_Only,Chemical_B,OK,85.2721,45.8917
XLOC_023886,"NM_001002838,NM_020922",chrX:54219255-54384438,Media_Only,Chemical_B,OK,1.75284,0.873245
XLOC_010159,NM_001942,chr18:28898051-28937393,Media_Only,Chemical_B,OK,0.611001,0.219505
XLOC_000611,NM_152367,chr1:116654375-116677861,Media_Only,Chemical_B,OK,4.17412,2.01525
XLOC_015409,"NM_001251962,NM_001251963,NM_015595",chr3:153742189-153975616,Media_Only,Chemical_B,OK,10.759,5.59336
XLOC_005533,NM_003708,chr12:57345215-57351418,Media_Only,Chemical_B,OK,33.6294,18.9734
XLOC_022063,NM_001010893,chr8:82605890-82607207,Media_Only,Chemical_B,OK,2.38136,1.00127
XLOC_004055,NM_014818,chr11:8633583-8680383,Media_Only,Chemical_B,OK,2.71569,1.38927
XLOC_011368,NR_024491,chr19:7537722-7538247,Media_Only,Chemical_B,OK,2.10627,0.269257
XLOC_014947,NM_003042,chr3:11034419-11080935,Media_Only,Chemical_B,OK,5.43967,2.88317
XLOC_021525,"NM_004103,NM_173174,NM_173175,NM_173176",chr8:27168998-27316908,Media_Only,Chemical_B,OK,21.4813,11.1405
XLOC_008341,"NM_001146006,NM_004970",chr16:1840413-1844909,Media_Only,Chemical_B,OK,16.4678,8.71969
XLOC_017697,NM_015566,chr5:74073398-74162663,Media_Only,Chemical_B,OK,5.55854,3.01647
XLOC_010634,NR_024282,chr19:14183820-14185874,Media_Only,Chemical_B,OK,4.98408,2.52857
XLOC_018291,NM_013397,chr6:41748499-41755110,Media_Only,Chemical_B,OK,8.18415,4.15632
XLOC_015632,"NM_001130410,NM_001607",chr3:38080695-38178733,Media_Only,Chemical_B,OK,120.565,63.2288
XLOC_003040,NM_213606,chr10:91190050-91295313,Media_Only,Chemical_B,OK,22.1939,12.8545
XLOC_011890,NM_022046,chr19:51581153-51587502,Media_Only,Chemical_B,OK,1.49496,0.0763536
XLOC_017801,"NM_001172700,NM_133456",chr5:132157832-132166590,Media_Only,Chemical_B,OK,52.5434,28.8541
XLOC_007901,NM_022468,chr16:3096681-3110724,Media_Only,Chemical_B,OK,1.41876,0.615681
XLOC_022956,NM_000197,chr9:98997588-99064434,Media_Only,Chemical_B,OK,2.8293,1.18999
XLOC_014075,"NM_000744,NM_001256573",chr20:61974661-61992748,Media_Only,Chemical_B,OK,0.717933,0.26897
XLOC_005540,NM_145064,chr12:57637241-57644969,Media_Only,Chemical_B,OK,1.71878,0.610812
XLOC_003229,NR_046316,chr11:779453-780755,Media_Only,Chemical_B,OK,9.0393,4.7669
XLOC_006637,NM_001077594,chr14:103566480-103576894,Media_Only,Chemical_B,OK,13.3733,7.6117
XLOC_018752,NR_026816,chr6:31141511-31145676,Media_Only,Chemical_B,OK,11.8207,6.53883
XLOC_009180,NM_002126,chr17:53342320-53402426,Media_Only,Chemical_B,OK,7.99935,4.58217
XLOC_008461,NR_024456,chr16:21443344-21445776,Media_Only,Chemical_B,OK,6.60926,3.40045
XLOC_017318,NM_052971,chr5:132209357-132210582,Media_Only,Chemical_B,OK,592.666,388.115
XLOC_017604,NM_031900,chr5:34998205-35048240,Media_Only,Chemical_B,OK,7.58153,4.06832
XLOC_021254,NM_005746,chr7:105888731-105925638,Media_Only,Chemical_B,OK,128.673,74.5721
XLOC_013786,NM_020062,chr20:62371210-62436856,Media_Only,Chemical_B,OK,15.6118,8.59012
XLOC_010619,NM_152654,chr19:13080431-13085567,Media_Only,Chemical_B,OK,0.592499,0.0628393
XLOC_021281,NM_005763,chr7:121713597-121784344,Media_Only,Chemical_B,OK,10.4347,5.86905
XLOC_015404,NM_033050,chr3:151591430-151599876,Media_Only,Chemical_B,OK,1.28632,0.462436
XLOC_010399,NM_032160,chr18:65173818-65566856,Media_Only,Chemical_B,OK,2.6841,1.46202
XLOC_017004,"NM_000860,NM_001145816,NM_001256301,NM_001256305,NM_001256306,NM_001256307",chr4:175411327-175444049,Media_Only,Chemical_B,OK,66.5312,38.3463
XLOC_016114,NM_001146686,chr3:190570525-190580465,Media_Only,Chemical_B,OK,2.06524,1.02108
XLOC_015496,NM_000412,chr3:186383797-186396023,Media_Only,Chemical_B,OK,79.3888,45.8668
XLOC_010163,NM_000371,chr18:29171729-29178986,Media_Only,Chemical_B,OK,779.687,473.902
XLOC_011933,"NM_033297,NM_144687",chr19:54296854-54327648,Media_Only,Chemical_B,OK,0.899564,0.292384
XLOC_015650,NM_004391,chr3:42913683-42917633,Media_Only,Chemical_B,OK,193.998,108.072
XLOC_002336,NM_002216,chr10:7745235-7791483,Media_Only,Chemical_B,OK,265.821,141.035
XLOC_002050,NR_037167,chr1:177975274-178007142,Media_Only,Chemical_B,OK,12.0955,6.97068
XLOC_012077,NR_034113,chr2:25194980-25262563,Media_Only,Chemical_B,OK,0.374605,0.102039
XLOC_000685,"NM_001159642,NM_138278",chr1:151009028-151020076,Media_Only,Chemical_B,OK,0.674489,0.0951669
XLOC_003661,NM_145200,chr11:67222817-67229245,Media_Only,Chemical_B,OK,0.376197,0.0233845
XLOC_022218,NM_001100878,chr8:144648362-144654928,Media_Only,Chemical_B,OK,1.43197,0.639016
XLOC_011254,NR_033266,chr19:60950-70966,Media_Only,Chemical_B,OK,26.4851,15.6701
XLOC_009473,NM_002616,chr17:8043787-8055753,Media_Only,Chemical_B,OK,37.4216,21.1127
XLOC_017549,NM_001242737,chr5:988424-997455,Media_Only,Chemical_B,OK,0.473943,0.0900708
XLOC_006949,"NM_001100607,NM_016186",chr14:94749649-94759608,Media_Only,Chemical_B,OK,137.757,74.6726
XLOC_001486,NM_133467,chr1:41326727-41328018,Media_Only,Chemical_B,OK,149.509,100.09
XLOC_012149,"NM_001167959,NM_152390",chr2:39892637-39945104,Media_Only,Chemical_B,OK,2.20438,0.816938
XLOC_000694,NM_020770,chr1:151483861-151511167,Media_Only,Chemical_B,OK,46.0833,25.0703
XLOC_002003,NR_037851,chr1:168369426-168391894,Media_Only,Chemical_B,OK,1.28041,0.510584
XLOC_022230,"NM_000445,NM_201378,NM_201379,NM_201380,NM_201381,NM_201382,NM_201383,NM_201384",chr8:144989320-145050913,Media_Only,Chemical_B,OK,18.6541,10.4249
XLOC_011927,NM_024733,chr19:53666551-53696619,Media_Only,Chemical_B,OK,0.436722,0.110951
XLOC_003828,NM_006169,chr11:114166534-114183238,Media_Only,Chemical_B,OK,230.82,139.505
XLOC_004866,NM_012291,chr12:53662082-53687427,Media_Only,Chemical_B,OK,0.787565,0.344951
